Kode,Jenis_Kejahatan,2018,2019,2020,2021,2022,2023,Satuan,Sifat_Data,Sumber
Data Vertikal Kepolisian Republik Indonesia Daerah,        Kesusilaan / Cabul,"55,00","60,00","59,00","56,00","48,00","34,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah
Data Vertikal Kepolisian Republik Indonesia Daerah,        Penggelapan / Fidusa,"500,00","343,00","397,00","421,00","360,00","423,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah
Data Vertikal Kepolisian Republik Indonesia Daerah,        Penipuan / Perbuatan Curang,"950,00","839,00","561,00","617,00","1.046,00","801,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah
Data Vertikal Kepolisian Republik Indonesia Daerah,        KDRT,"133,00","128,00","81,00","80,00","75,00","91,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah
Data Vertikal Kepolisian Republik Indonesia Daerah,        Konvensional Lainnya,"265,00","711,00","1.877,00","2.129,00","967,00","773,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah
Data Vertikal Kepolisian Republik Indonesia Daerah,Tindak Pidana Transnasional,"768,00","561,00","278,00","389,00","516,00","667,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah
Data Vertikal Kepolisian Republik Indonesia Daerah,        Teroris,"0,00","0,00","0,00","0,00",0.00,"0,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah
Data Vertikal Kepolisian Republik Indonesia Daerah,        Narkoba,"508,00","511,00","270,00","357,00","464,00","571,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah
Data Vertikal Kepolisian Republik Indonesia Daerah,        Perdagangan Manusia,"0,00","0,00","0,00","0,00",0.00,"8,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah
Data Vertikal Kepolisian Republik Indonesia Daerah,        Cyber Crime,"8,00","11,00","6,00","5,00","41,00","83,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah
Data Vertikal Kepolisian Republik Indonesia Daerah,        Tindak Pidana Transnasional Lainnya,"252,00","39,00","2,00","27,00","11,00","5,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah
Data Vertikal Kepolisian Republik Indonesia Daerah,Tindak Pidana Terhadap Kekayaan Negara,"14,00","24,00","10,00","19,00","31,00","32,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah
Data Vertikal Kepolisian Republik Indonesia Daerah,        Ilegal Logging,"0,00","1,00","0,00","0,00","3,00","0,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah
Data Vertikal Kepolisian Republik Indonesia Daerah,        Ilegal Fishing,"0,00","0,00","0,00","0,00","2,00","4,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah
Data Vertikal Kepolisian Republik Indonesia Daerah,        Ilegal Mining,"6,00","5,00","1,00","3,00","2,00","2,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah
Data Vertikal Kepolisian Republik Indonesia Daerah,        Korupsi,"7,00","5,00","1,00","1,00",0.00,"2,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah
Data Vertikal Kepolisian Republik Indonesia Daerah,        Migas / BBM,"0,00","8,00","1,00","0,00","6,00","1,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah
Data Vertikal Kepolisian Republik Indonesia Daerah,        Uang Palsu,"1,00","1,00","4,00","2,00",0.00,"2,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah
Data Vertikal Kepolisian Republik Indonesia Daerah,        Tindak Pidana terhadap Kekayaan Negara Lainnya,"0,00","4,00","3,00","13,00","18,00","21,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah
Data Vertikal Kepolisian Republik Indonesia Daerah,Tindak Pidana yang Berimplikasi Kontinjensi,"2,00","0,00","6,00","10,00","2,00","1,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah
Data Vertikal Kepolisian Republik Indonesia Daerah,        Unjuk Rasa Anarkis,"0,00","0,00","2,00","0,00",0.00,"0,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah
Data Vertikal Kepolisian Republik Indonesia Daerah,        Rusuh Masal,"0,00","0,00","0,00","0,00",0.00,"0,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah
Data Vertikal Kepolisian Republik Indonesia Daerah,        Sara,"2,00","0,00","0,00","0,00","1,00","0,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah
Data Vertikal Kepolisian Republik Indonesia Daerah,        Tindak Pidana yang Berimplikasi Kontinjensi Lainnya,"0,00","0,00","4,00","10,00","1,00","1,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah
Data Vertikal Kepolisian Republik Indonesia Daerah,Tindak Pidana Pelanggaran HAM,"0,00","0,00","0,00","0,00",0.00,"0,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah
Data Vertikal Kepolisian Republik Indonesia Daerah,        Pelanggaran HAM Berat,"0,00","0,00","0,00","0,00",0.00,"0,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah
Data Vertikal Kepolisian Republik Indonesia Daerah,        Pelanggaran HAM Terhadap Anak,"0,00","0,00","0,00","0,00",0.00,"0,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah
Data Vertikal Kepolisian Republik Indonesia Daerah,        Tindak Pidana Pelanggaran HAM Lainnya,"0,00","0,00","0,00","0,00",0.00,"0,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah
